artist,count
drake,63
taylor swift,63
bad bunny,60
karol g,32
the weeknd,31
travis scott,30
billie eilish,27
ariana grande,26
future,23
post malone,22
peso pluma,22
juice wrld,21
morgan wallen,20
lil baby,20
olivia rodrigo,20
rauw alejandro,19
doja cat,19
kendrick lamar,18
dua lipa,17
calvin harris,17
bizarrap,17
21 savage,17
feid,17
xxxtentacion,17
j balvin,16
imagine dragons,16
ed sheeran,15
eminem,15
metro boomin,15
gunna,15
kanye west,15
blackpink,14
rod wave,14
justin bieber,14
music lab jpn,14
shakira,14
fuerza regida,14
bts,14
marshmello,14
sza,14
pop smoke,13
miley cyrus,13
nicki minaj,13
linkin park,13
rihanna,13
luke combs,13
anuel aa,13
bruno mars,12
maroon 5,12
sia,12
myke towers,12
harry styles,12
alan walker,12
ozuna,12
katy perry,11
jason derulo,11
zach bryan,11
maluma,11
yeat,11
newjeans,11
lil uzi vert,11
daddy yankee,11
shawn mendes,11
becky g,11
j. cole,10
adele,10
lil nas x,10
junior h,10
camilo,10
tiësto,10
coldplay,10
beyoncé,10
sam smith,10
cardi b,10
lil durk,9
dj snake,9
ava max,9
central cee,9
badshah,9
lil tecca,9
lady gaga,9
ive,9
jung kook,9
$uicideboy$,9
polo g,9
nle choppa,9
migos,9
grupo frontera,9
the kid laroi,9
megan thee stallion,9
selena gomez,8
burna boy,8
aespa,8
pawan singh,8
sebastian yatra,8
mora,8
christian nodal,8
meghan trainor,8
shubh,8
måneskin,8
dababy,8
tate mcrae,8
kygo,8
lewis capaldi,8
natanael cano,8
grupo marca registrada,8
semicenk,8
jack harlow,8
carin leon,8
youngboy never broke again,8
camila cabello,8
twice,8
nicky jam,8
rosalía,8
brent faiyaz,7
dj khaled,7
selena,7
sabrina carpenter,7
grupo firme,7
maria becerra,7
martin garrix,7
khalid,7
dave,7
lil tjay,7
stray kids,7
nf,7
don toliver,7
pritam,7
"tyler, the creator",7
p!nk,7
anirudh ravichander,7
quevedo,7
onerepublic,7
odetari,7
jelly roll,7
jason aldean,6
karan aujla,6
tini,6
xavi,6
farruko,6
fred again..,6
roddy ricch,6
cris mj,6
romeo santos,6
avicii,6
manuel turizo,6
b praak,6
le sserafim,6
the chainsmokers,6
los ángeles azules,6
lana del rey,6
nio garcia,6
rels b,6
kali uchis,6
twenty one pilots,6
ice spice,6
oscar maydon,6
itzy,6
luis r conriquez,6
black eyed peas,6
chris brown,6
russ,6
seventeen,6
tyla,5
playboi carti,5
a boogie wit da hoodie,5
purple disco machine,5
el alfa,5
emilia,5
justin timberlake,5
tomorrow x together,5
charlie puth,5
alok,5
offset,5
joji,5
eladio carrion,5
labrinth,5
kane brown,5
arctic monkeys,5
arcángel,5
kodak black,5
arijit singh,5
diljit dosanjh,5
lil wayne,5
lizzo,5
danny ocean,5
david guetta,5
chris stapleton,5
natti natasha,5
luan pereira,5
luck ra,5
tiago pzk,5
dalex,5
moneybagg yo,5
meduza,5
bebe rexha,5
benson boone,5
young thug,5
yoasobi,5
ynw melly,5
flo rida,5
floyymenor,5
guru randhawa,4
paulo londra,4
pedro sampaio,4
pharrell williams,4
bryson tiller,4
g-eazy,4
young miko,4
clean bandit,4
benny blanco,4
nardo wick,4
mc ig,4
sech,4
sexyy red,4
bailey zimmerman,4
marília mendonça,4
major lazer,4
sleepy hallow,4
steve lacy,4
summer walker,4
swedish house mafia,4
baby keem,4
d billions,4
neha kakkar,4
rema,4
charli xcx,4
love bgm jpn,4
tainy,4
ayra starr,4
dan + shay,4
daniel caesar,4
the academy: segunda misión,4
lil yachty,4
kurochuu,4
latto,4
ana castela,4
rae sremmurd,4
noah kahan,4
one direction,4
troye sivan,4
joel corry,4
jonas blue,4
jonas brothers,4
jordan davis,4
tyga,4
usher,4
v,4
el reino infantil,4
jhay cortez,4
wiz khalifa,4
hozier,4
falling in reverse,4
isabel larosa,4
enrique iglesias,4
james arthur,4
ellie goulding,4
piso 21,4
pitbull,4
bring me the horizon,4
gorillaz,4
glorilla,4
a$ap rocky,4
(g)i-dle,4
zara larsson,4
zayn,4
jere klein,3
big one,3
big sean,3
anitta,3
lost frequencies,3
anne-marie,3
childish gambino,3
ian,3
chris jedi,3
nate smith,3
dennis,3
tom odell,3
ricky desktop,3
al shami,3
bazzi,3
disclosure,3
robin schulz,3
blackbear,3
hctm,3
diplo,3
hardy,3
niall horan,3
wizkid,3
nicki nicole,3
wiu,3
santa fe klan,3
shouse,3
lil mabu,3
riize,3
saweetie,3
jax jones,3
beabadoobee,3
jay wheeler,3
jay-z,3
jubin nautiyal,3
alessia cara,3
luke bryan,3
saiko,3
tyler hubbard,3
luis fonsi,3
eden muñoz,3
jawsh 685,3
jennie,3
enhypen,3
cody johnson,3
elton john,3
conan gray,3
teddy swims,3
meek mill,3
morad,3
ella mai,3
eliza rose,3
mc ph,3
jennifer lopez,3
coolio,3
eslabon armado,3
mustard,3
rosa linn,3
jvke,3
yg,3
trippie redd,3
psy,3
halsey,3
babymonster,3
tems,3
bossman dlow,3
tee grizzley,3
brytiago,3
lauv,3
pinkfong,3
kenshi yonezu,3
sub urban,3
zion & lennox,3
sidhu moose wala,3
trueno,3
lainey wilson,3
galantis,3
darshan raval,3
gabito ballesteros,3
gerardo coronel,3
kid cudi,3
yo yo honey singh,3
kina,3
4batz,3
giveon,3
spyro,3
soolking,3
6ix9ine,3
mahalini,3
flo milli,3
ajr,3
dominic fike,3
red hot chili peppers,3
blessd,3
bm,3
don omar,3
vishal-shekhar,3
vishal mishra,3
ken carson,3
mac miller,3
d4vd,3
happy asmara,3
ofenbach,3
george ezra,3
h.e.r.,3
john summit,3
pinkpantheress,3
partynextdoor,3
jimin,3
thomas rhett,3
gucci mane,3
tory lanez,3
fifty fifty,3
the neighbourhood,3
oliver tree,3
ateez,3
john legend,2
dylan scott,2
dystinct,2
ebru yaşar,2
joost,2
tucker wetmore,2
jon pardi,2
dom dolla,2
kenia os,2
the la planta,2
the lumineers,2
the rolling stones,2
the script,2
anotr,2
tollan kim,2
ariana debose,2
thxsomch,2
kep1er,2
kevin gates,2
khesari lal yadav,2
king,2
king von,2
kizz daniel,2
ap dhillon,2
jorja smith,2
joyner lucas,2
julión álvarez y su norteño banda,2
jungle,2
juvenile,2
duki,2
kaka,2
doechii,2
tina turner,2
titom,2
anna asti,2
annalisa,2
amo988,2
tommy richman,2
kanii,2
keblack,2
tiagz,2
fer vazquez,2
fetty wap,2
fifth harmony,2
fireboy dml,2
fisher,2
veigh,2
victony,2
victor cibrian,2
alec benjamin,2
agust d,2
will.i.am,2
wisin,2
wisin & yandel,2
harrdy sandhu,2
heuss l'enfoiré,2
himesh reshammiya,2
hotel ugly,2
walker hayes,2
geolier,2
1nonly,2
gims,2
glass animals,2
gotye,2
gracie abrams,2
gracie's corner,2
green day,2
gusttavo lima,2
x ambassadors,2
xamdam sobirov,2
xg,2
xsyborg,2
ado,2
yandel,2
yng lvcas,2
guns n' roses,2
work out gym - dj mix,2
koe wetzel,2
alesso,2
alex warren,2
ali gatie,2
jaymes young,2
el chombo,2
el jordan 23,2
jhayco,2
eyedress,2
tones and i,2
tony kakkar,2
toosii,2
topic,2
trashxrl,2
treasure,2
aliyah's interlude,2
alvaro diaz,2
jhené aiko,2
fabio asher,2
fall out boy,2
fariana,2
idina menzel,2
illit,2
internet money,2
ir sais,2
izaak,2
tăng duy tân,2
eternxlkz,2
jackboys,2
james hype,2
elle king,2
elley duhé,2
jasleen royal,2
jason mraz,2
two feet,2
twocolors,2
empire of the sun,2
ryan castro,2
myles smith,2
chencho corleone,2
chino pacas,2
nathan dawe,2
nathan evans,2
renuka panwar,2
rich the kid,2
ricky martin,2
zedd,2
rm,2
nej,2
nelly,2
nemzzz,2
nickelback,2
chase & status,2
nicky youre,2
q' lokura,2
quality control,2
riton,2
melon,2
mert demir,2
mgk,2
michelle maciel,2
mike posner,2
milo j,2
mitski,2
coco jones,2
coi leray,2
ruth b.,2
moondeity,2
morat,2
christina perri,2
cigarettes after sex,2
ckay,2
clairo,2
muni long,2
royel otis,2
bento e totó,2
ruger,2
montell fish,2
portugal. the man,2
pozer,2
passenger,2
payal dev,2
pearl jam,2
brray,2
picus,2
347aidan,2
zerb,2
quavo,2
¥$,2
ñengo flow,2
y2k,2
ghostemane,2
yung bleu,2
5 seconds of summer,2
50 cent,2
6arelyhuman,2
фрози,2
zé felipe,2
r3hab,2
raye,2
bolofofos,2
bonnadol,2
regard,2
reik,2
nirvana,2
nmixx,2
number_i,2
polimá westcoast,2
cassö,2
old dominion,2
olivetheboy,2
omah lay,2
c. tangana,2
calibre 50,2
calle 24,2
calum scott,2
parker mccollum,2
pashanim,2
carlos vives,2
libianca,2
lil dicky,2
lil mosey,2
diler kharkiya,2
lisa,2
lmfao,2
logic,2
loreen,2
demi lovato,2
melanie martinez,2
dhvani bhanushali,2
taeyang,2
tai verdes,2
tame impala,2
aurora,2
aya nakamura,2
ayo & teo,2
tayc,2
luciano,2
destroy lonely,2
kordhell,2
kungs,2
köfn,2
l7nnon,2
la adictiva,2
la joaqui,2
laufey,2
lauren spencer smith,2
lauty gram,2
leo santana,2
thaman s,2
artemas,2
asake,2
ashnikko,2
ati2x06,2
atif aslam,2
that mexican ot,2
the black keys,2
the kolors,2
league of legends,2
thalia,2
mariah carey,2
mark ambor,2
mark ronson,2
d-block europe,2
shaboozey,2
ski mask the slump god,2
skrillex,2
masked wolf,2
matheus fernandes,2
lucky brown,2
mc cabelinho,2
creeds,2
megan moroney,2
sachin-jigar,2
salastkbron,2
sam hunt,2
sefo,2
bebefinn,2
becky hill,2
bellakath,2
matuê,2
"luis angel ""el flaco""",2
lukas graham,2
lunay,2
david kushner,2
davido,2
ddg,2
dean lewis,2
dei v,2
luude,2
mari fernandez,2
lxngvx,2
macklemore,2
macklemore & ryan lewis,2
madison beer,2
darell,2
sky rompiendo,2
snoop dogg,2
standly,2
stephen sanchez,2
mankirt aulakh,2
lvbel c5,2
有華,1
$oho bani,1
&me,1
*nsync,1
.diedlonely,1
10cm,1
19.85,1
1da banton,1
24kgoldn,1
2rare,1
