,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,love,hurt,goodbye,friend,hopeless,memory,play,sad
0,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,0.553,147,141.381703,43,263,0.045,10,826,125,B,Major,80,89,83,31,0,8,4,0.84974146,0.8622067,0.8800432,0.90974075,0.92043346,0.92970425,0.8050591,0.86263794
1,LALA,Myke Towers,1,2023,3,23,1.474,48,133.716286,48,126,0.058,14,382,92,C#,Major,71,61,74,7,0,10,4,0.6269417,0.7565444,0.76805305,0.74287486,0.8030943,0.7590115,0.6281964,0.78020746
2,vampire,Olivia Rodrigo,1,2023,6,30,1.397,113,140.003974,94,207,0.091,14,949,138,F,Major,51,32,53,17,0,31,6,0.6403841,0.6796781,0.7291859,0.589612,0.56147635,0.67559093,0.6540761,0.68974197
3,Cruel Summer,Taylor Swift,1,2019,8,23,7.858,100,800.840817,116,207,0.125,12,548,170,A,Major,55,58,72,11,0,11,15,0.7975379,0.8060436,0.8813531,0.8437824,0.8318409,0.8993025,0.9183923,0.76862526
4,WHERE SHE GOES,Bad Bunny,1,2023,5,18,3.133,50,303.236322,84,133,0.087,15,425,144,A,Minor,65,23,80,14,63,11,6,0.76120436,0.7974045,0.7973161,0.7917647,0.8339019,0.83741325,0.75379485,0.8107269
5,Sprinter,"Dave, Central Cee",2,2023,6,1,2.186,91,183.706234,67,213,0.088,17,946,141,C#,Major,92,66,58,19,0,8,24,0.8532654,0.9021648,0.93507105,0.74470484,0.7789827,0.7345104,0.7762054,0.8098998
6,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3.09,50,725.980112,34,222,0.043,13,418,148,F,Minor,67,83,76,48,0,8,3,0.8159309,0.9160782,0.84417933,0.8794505,0.8822088,0.92071056,0.84342957,0.92884195
7,Columbia,Quevedo,1,2023,7,7,0.714,43,58.149378,25,89,0.03,13,194,100,F,Major,67,26,71,37,0,11,4,0.72499216,0.7930282,0.79439986,0.7688165,0.7909806,0.73296714,0.8080177,0.79014194
8,fukumean,Gunna,1,2023,5,15,1.096,83,95.217315,60,210,0.048,11,953,130,C#,Minor,85,22,62,12,0,28,9,0.622256,0.67015344,0.697219,0.5236844,0.65994346,0.5968021,0.61828613,0.66457677
9,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2.953,44,553.634067,49,110,0.066,13,339,170,D,Minor,81,56,48,21,0,8,33,0.8003753,0.97521985,0.88634646,0.87091154,0.9360313,0.8549867,0.84098315,0.9274142
