,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
8,Danza Kuduro - Cover,� - � -,MUSIC LAB JPN,6/9/2024,TCJPA2463708,9,355.7,"1,653,018,119",1,15,,,,,,,,,,,,,,,,,,,1
23,TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyonc�,2/10/2024,USSM12401302,24,278.9,"426,700,979","34,044","152,928,632",86.0,"35,724,356","437,980","1,470,500","485,200,392","6,518,604,175","1,213,175,656",159.0,"309,497",257,194.0,"40,725,482",177.0,"13,860,535","36,282",,"2,100,708",,1
27,Baby Shark,� � �,Pinkfong,12/1/2015,KRE671700001,28,265.7,"720,822,868","60,945","7,530,769",71.0,"16,322,756,555","48,757,673","7,743,800","281,762,094","6,577,639,193","2,166,611",33.0,284,142,19.0,"52,179",17.0,"86,458,847","2,234,137",,"2,064,420",,0
30,Danza Kuduro - Cover,� �,LOVE BGM JPN,5/14/2024,TCJPA2406007,31,249.8,"1,645,079,292",,,,,,,,,,,,,,,,,,,,,1
41,Cupid � Twin Ver. (FIFTY FIFTY) � Spe,Cupid � Twin Ver. (FIFTY FIFTY) � Spe,sped up 8282,4/8/2023,KRA252300672,42,211.2,"170,970,614","27,827","5,784,546",41.0,"22,280,037","334,523","14,348,249","948,225,544","12,196,985,599",,2.0,672,,4.0,"35,737",9.0,"270,610","3,170",,,,1
57,Dona Felicidade,Dona Felicidade,Patati Patat�,6/4/2024,QZNJW2423715,58,190.0,,2,"41,206",,"52,480,069","82,092",,,,,,,,1.0,"1,657",,,,,,,0
66,CARNIVAL,CARNIVAL,�$,2/8/2024,QZ7XS2400012,67,179.6,"466,887,055","53,842","103,935,623",84.0,"27,688,666","449,112",,,,"33,817,299",42.0,"53,333",,11.0,"199,915",29.0,"1,359,484","11,303","11,703,609","1,982,000",,1
76,Laxed � Sire,Laxed (Siren Beat),Jawsh 685,4/24/2020,NZAM02001128,77,168.9,,"10,230","1,142,937",,"12,489,728","339,414","42,900,000","919,945,708","12,221,514,692",,,,,,,,"5,678,792",,,,,0
80,Perfect,� (Deluxe),Ed Sheeran,3/3/2017,GBAHS1700024,81,167.5,"2,969,999,682","280,165","116,921,604",81.0,"6,473,698,897","39,632,673","6,642,975","601,244,764","7,647,479,866","1,708,317,539",208.0,"263,386",129,343.0,"1,242,581",102.0,"617,483,078","595,052",,,,0
88,Tit� Me Pregu,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214878,89,163.1,"1,514,239,759","190,692","77,283,361",77.0,"1,366,181,141","9,358,441","1,769,068","475,656,543","5,249,863,696","488,048,337",150.0,"145,640",920,44.0,"5,591,928",108.0,"69,095,169","81,914",,"5,133,847",,1
