,word
0,!
1,""""
2,#
3,$
4,&
5,'
6,(
7,)
8,+
9,","
10,-
11,.
12,/
13,0
14,1
15,10
16,100
17,101
18,150
19,16
20,1984
21,1999
22,2
23,2002
24,2003
25,2011
26,2019
27,2021
28,2022
29,205
30,21
31,212
32,23
33,25
34,295
35,3
36,347
37,35
38,4
39,40
40,48
41,49
42,5
43,505
44,51
45,52
46,53
47,55
48,56
49,69
50,9
51,91
52,98
53,:
54,?
55,[
56,]
57,a
58,aan
59,ab
60,about
61,ac
62,aches
63,across
64,ade
65,ado
66,ady
67,af
68,after
69,ag
70,aga
71,again
72,agem
73,ago
74,agosto
75,agu
76,agua
77,ah
78,ahí
79,ai
80,aida
81,ait
82,ake
83,aki
84,aku
85,al
86,album
87,ale
88,aliança
89,alien
90,alive
91,all
92,alo
93,alone
94,am
95,amar
96,ame
97,aming
98,amo
99,amor
100,amour
101,ampa
102,an
103,and
104,ando
105,andre
106,ane
107,ang
108,anima
109,ank
110,anni
111,anniversary
112,another
113,ans
114,ant
115,ante
116,antes
117,anti
118,anto
119,ao
120,ap
121,apa
122,apo
123,aq
124,ar
125,arc
126,arcade
127,are
128,area
129,ari
130,aria
131,ario
132,ark
133,arms
134,around
135,arre
136,as
137,asia
138,assim
139,ast
140,aste
141,así
142,at
143,ata
144,atar
145,ate
146,ater
147,attention
148,august
149,aun
150,aur
151,aut
152,aven
153,ay
154,azul
155,año
156,b
157,ba
158,baby
159,back
160,bad
161,bai
162,baile
163,bala
164,bald
165,bana
166,bar
167,bat
168,bb
169,be
170,bea
171,beach
172,beam
173,beautiful
174,beer
175,before
176,beginning
177,bei
178,bel
179,bela
180,believe
181,bell
182,bello
183,bells
184,belong
185,ber
186,best
187,bet
188,better
189,bi
190,bia
191,bie
192,big
193,bigger
194,bill
195,bird
196,bit
197,bl
198,black
199,ble
200,blind
201,bling
202,blo
203,blood
204,blue
205,blues
206,bo
207,body
208,boli
209,bomb
210,bon
211,bones
212,bonus
213,book
214,boom
215,bore
216,born
217,bound
218,bout
219,boy
220,boyfriend
221,boys
222,br
223,bra
224,break
225,bridge
226,bright
227,bro
228,broke
229,brothers
230,brown
231,brun
232,bug
233,bun
234,bund
235,bus
236,business
237,but
238,by
239,bye
240,c
241,ca
242,caciones
243,cai
244,cal
245,call
246,calling
247,can
248,canción
249,cap
250,capaz
251,car
252,card
253,cas
254,casa
255,case
256,cash
257,cat
258,cate
259,cayó
260,cc
261,ced
262,cei
263,ceiling
264,cele
265,celo
266,cer
267,ch
268,cha
269,chan
270,chance
271,changes
272,chant
273,char
274,chat
275,che
276,chel
277,chemical
278,chie
279,child
280,chine
281,chis
282,cho
283,chu
284,church
285,chy
286,ci
287,cid
288,cide
289,cielo
290,cinema
291,circles
292,cita
293,city
294,ck
295,cket
296,cky
297,class
298,cle
299,closed
300,closer
301,club
