,word
0," """
1, #
2, &
3, '
4, (
5, )
6, +
7, -
8, /
9, [
10, a
11, ab
12, abc
13, about
14, ac
15, across
16, adore
17, afraid
18, after
19, ag
20, again
21, agon
22, agosto
23, ah
24, ai
25, ain
26, al
27, album
28, ale
29, alien
30, alive
31, all
32, alone
33, am
34, america
35, amo
36, amor
37, amour
38, an
39, and
40, angel
41, angels
42, anim
43, annihil
44, anniversary
45, another
46, ant
47, antes
48, anthem
49, anti
50, ao
51, ap
52, apocalypse
53, aqu
54, ar
55, arc
56, arcade
57, arcane
58, are
59, area
60, arms
61, around
62, as
63, assim
64, astronaut
65, así
66, at
67, atl
68, attention
69, august
70, aunt
71, aur
72, ay
73, az
74, b
75, ba
76, baby
77, bach
78, back
79, bad
80, bail
81, bal
82, bam
83, bana
84, bar
85, bb
86, be
87, beach
88, beam
89, beautiful
90, beer
91, before
92, beg
93, beginning
94, bei
95, bel
96, believer
97, bell
98, bells
99, belly
100, belong
101, bes
102, best
103, bet
104, better
105, big
106, bigger
107, bill
108, bite
109, bl
110, black
111, blame
112, blank
113, blessed
114, blind
115, bloody
116, blues
117, bo
118, bol
119, bomb
120, bon
121, bones
122, bonus
123, book
124, bored
125, born
126, bound
127, bout
128, boy
129, boyfriend
130, boys
131, br
132, break
133, breath
134, breeze
135, brid
136, bright
137, bro
138, broke
139, brothers
140, brown
141, bs
142, bug
143, bunny
144, business
145, butter
146, by
147, bye
148, bz
149, c
150, ca
151, cairo
152, california
153, call
154, calling
155, calm
156, can
157, canc
158, cap
159, car
160, card
161, cart
162, casa
163, case
164, cash
165, cat
166, ceilings
167, cel
168, celestial
169, ch
170, chance
171, changes
172, char
173, che
174, chemical
175, child
176, chor
177, christ
178, christmas
179, church
180, ci
181, cigarettes
182, cinema
183, cir
184, circles
185, cita
186, city
187, class
188, classy
189, closed
190, closer
191, club
192, co
193, coco
194, codes
195, coi
196, col
197, cold
198, cole
199, collapse
200, color
201, colors
202, com
203, come
204, con
205, conce
206, conex
207, cooks
208, cool
209, cor
210, coraz
211, could
212, count
213, counting
214, crazy
215, creator
216, creep
217, crime
218, cross
219, crossed
220, crossover
221, crown
222, cruel
223, cruz
224, cry
225, cuff
226, cum
227, cup
228, cupid
229, curtains
230, cómo
231, d
232, da
233, dab
234, daddy
235, dak
236, dal
237, dame
238, damn
239, dan
240, dance
241, dancer
242, dancing
243, danger
244, dar
245, dark
246, dawn
247, day
248, daylight
249, days
250, de
251, deal
252, december
253, decision
254, decisions
255, deck
256, deep
257, deja
258, del
259, demasi
260, demons
261, des
262, deserve
263, después
264, destroy
265, devil
266, değil
267, di
268, dick
269, did
270, didn
271, die
272, different
273, dij
274, diner
275, distribution
276, dit
277, dive
278, do
279, dog
280, don
281, door
282, dopamine
283, dorm
284, dos
285, double
286, down
287, dr
288, dre
289, dream
290, dreaming
