Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
1420,We Are Young (feat. Janelle Monáe),Some Nights,fun.,9/20/2011,USAT21101399,"1,414",39.3,"1,143,172,586","216,588","73,069,486",72.0,"213,210,779","1,991,783","126,524","40,627,736","302,798,025","11,536,073",135.0,"255,508",218,88.0,"336,269",52.0,"850,730,378","1,501,832",,"18,822,823",,0
1423,Deep End,Deep End,Fousheé,7/31/2020,USRC12002568,"1,417",39.2,"277,505,000","76,388","9,447,547",56.0,"126,075,119","2,454,637","4,256,904","332,625,712","3,120,170,735","224,234",108.0,"48,728",52,36.0,"1,529,118",12.0,"14,909,499","10,457",,"7,454,274",,1
1429,Si Veo a Tu Mamá,YHLQMDLG,Bad Bunny,2/29/2020,QM4TX2030842,"1,423",39.1,"817,199,682","92,013","18,868,123",70.0,"741,912,041","6,429,361","260,300","72,202,454","555,577,986","16,786,223",50.0,"13,012",34,26.0,"362,333",24.0,"75,776,057","27,755",,"1,368,659",,0
1457,LA FAMA,MOTOMAMI,ROSALÍA,11/11/2021,USSM12107750,"1,453",38.5,"459,476,092","79,169","20,678,333",69.0,"301,677,718","2,245,842","55,272","38,358,977","399,821,879","462,649,059",87.0,"63,710",464,46.0,"1,485,067",45.0,"3,528,286","5,647",,"3,574,604",,0
1489,ビビデバ,ビビデバ,Hoshimachi Suisei,3/23/2024,JPV752408464,"1,482",38.1,"21,255,074","1,754","3,985,309",70.0,"60,877,749","97,240",477,"553,713","5,326,500","9,849,140",2.0,38,,1.0,"7,336",7.0,,,,"41,209",,0
1500,Después de la Playa,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214876,"1,493",37.9,"542,751,537","67,763","20,306,682",71.0,"195,610,806","1,623,280","228,878","87,866,614","803,525,888","22,535,103",28.0,"18,652",129,6.0,"288,649",17.0,"27,807,712","14,924",,"1,359,456",,0
1508,Reggaetón Lento (Bailemos),Primera Cita,CNCO,8/26/2016,USSD11600135,"1,497",37.9,"738,438,810","65,613","22,623,077",67.0,"1,897,769,481","7,650,997","655,030","19,223,955","149,891,612","336,396,451",64.0,"14,780",78,37.0,"353,829",39.0,"71,305,643","50,105",,"3,652,838",,0
1512,Niña Bonita,"MOR, No Le Temas a La Oscuridad",Feid,4/21/2023,USUM72305943,"1,508",37.8,"237,741,410","39,503","20,043,997",61.0,"86,652,111","676,137","314,300","33,678,445","411,538,350","10,320,009",37.0,"22,112",130,32.0,"499,187",13.0,"3,040,416",525,,"482,221",,0
1520,ชอบเธออะ,ชอบเธออะ,Ptrp Studio,6/2/2022,THSOH2204284,"1,515",37.8,"13,219,831","3,136","395,560",45.0,"58,017,693","793,077","4,118,069","292,998,461","3,165,914,733","24,429,988",,22,,,,,,,,,,0
1525,บักจีเหลิน,รวมเพลง จีเหลิน สายหมอบ,จีเหลิน สายหมอบ,9/18/2023,THSOH2307725,"1,522",37.7,"456,034",14,138,,"247,148,544","892,208",,,,,,,,,,,,,,"2,065",,0
